,name,latitude,longitude,cables
0,"Teluk, Indonesia",-2.202382,133.482145,"[{'id': 'palapa-ring-east', 'name': 'Palapa Ring East', 'cable_id': 1938.0}]"
1,"Umag, Croatia",45.433106,13.520178,"[{'id': 'italy-croatia', 'name': 'Italy-Croatia', 'cable_id': 1286.0}]"
2,"Ajaccio, France",41.919326,8.738638,"[{'id': 'corse-continent-5-cc5', 'name': 'Corse-Continent 5 (CC5)', 'cable_id': 1428.0}]"
3,"Kuala Kurau, Malaysia",5.019465,100.397078,"[{'id': 'asia-africa-europe-1-aae-1', 'name': 'Asia Africa Europe-1 (AAE-1)', 'cable_id': 1739.0}]"
4,"Mamoudzou, Mayotte",-12.783309,45.233286,"[{'id': 'avassa', 'name': 'Avassa', 'cable_id': 1872.0}]"
5,"Clonshaugh, Ireland",53.410055,-6.197915,"[{'id': 'emerald-bridge-fibres', 'name': 'Emerald Bridge Fibres', 'cable_id': 1684.0}]"
6,"Toucheng, Taiwan",24.863596,121.801462,"[{'id': 'asia-pacific-gateway-apg', 'name': 'Asia Pacific Gateway (APG)', 'cable_id': 1617.0}, {'id': 'flag-north-asia-loopreach-north-asia-loop', 'name': 'FLAG North Asia Loop/REACH North Asia Loop', 'cable_id': 1150.0}, {'id': 'new-cross-pacific-ncp-cable-system', 'name': 'New Cross Pacific (NCP) Cable System', 'cable_id': 1786.0}, {'id': 'pacific-light-cable-network-plcn', 'name': 'Pacific Light Cable Network (PLCN)', 'cable_id': 1858.0}, {'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}]"
7,"Dadeng Island, China",24.556736,118.300975,"[{'id': 'cross-straits-cable-network', 'name': 'Cross Straits Cable Network', 'cable_id': 1632.0}]"
8,"Tobelo, Indonesia",1.714584,127.967865,"[{'id': 'palapa-ring-middle', 'name': 'Palapa Ring Middle', 'cable_id': 1940.0}]"
9,"St. Valéry, France",49.860423,0.708478,"[{'id': 'tat-14', 'name': 'TAT-14', 'cable_id': 1043.0}]"
10,"St. Paul's Bay, Malta",35.950505,14.415588,"[{'id': 'go-1-mediterranean-cable-system', 'name': 'GO-1 Mediterranean Cable System', 'cable_id': 1581.0}]"
11,"Pile Bay, Alaska, United States",59.776055,-153.880487,"[{'id': 'terra-sw', 'name': 'TERRA SW', 'cable_id': 1693.0}]"
12,"North West Point, Cayman Islands",19.371558,-81.411722,"[{'id': 'deep-blue-cable', 'name': 'Deep Blue Cable', 'cable_id': 1913.0}]"
13,"Ela Beach, Papua New Guinea",-9.480235,147.156406,"[{'id': 'australia-papua-new-guinea-2-apng-2', 'name': 'Australia-Papua New Guinea-2 (APNG-2)', 'cable_id': 1527.0}]"
14,"Saint Maarten, Sint Maarten",18.031043,-63.073706,"[{'id': 'eastern-caribbean-fiber-system-ecfs', 'name': 'Eastern Caribbean Fiber System (ECFS)', 'cable_id': 1290.0}]"
15,"Thisted, Denmark",56.959162,8.703481,"[{'id': 'denmark-norway-6', 'name': 'Denmark-Norway 6', 'cable_id': 1327.0}]"
16,"Buffalo, New York, United States",42.885438,-78.878459,"[{'id': 'crosslake-fibre', 'name': 'Crosslake Fibre', 'cable_id': 1925.0}]"
17,"Grover Beach, California, United States",35.120635,-120.62142,"[{'id': 'pacific-crossing-1-pc-1', 'name': 'Pacific Crossing-1 (PC-1)', 'cable_id': 1007.0}, {'id': 'pan-american-crossing-pac', 'name': 'Pan-American Crossing (PAC)', 'cable_id': 1072.0}]"
18,"Chipiona, Spain",36.731303,-6.428872,"[{'id': 'pencan-7', 'name': 'Pencan-7', 'cable_id': 1852.0}, {'id': 'pencan-9', 'name': 'Pencan-9', 'cable_id': 1866.0}]"
19,"Chung Hom Kok, Hong Kong, China",22.225036,114.205665,"[{'id': 'eac-c2c', 'name': 'EAC-C2C', 'cable_id': 1592.0}, {'id': 'hong-kong-americas-hka', 'name': 'Hong Kong-Americas (HKA)', 'cable_id': 1933.0}, {'id': 'southeast-asia-japan-cable-sjc', 'name': 'Southeast Asia Japan Cable (SJC)', 'cable_id': 1604.0}]"
20,"Portachur Point, United Kingdom",55.742769,-4.943863,"[{'id': 'bt-highlands-and-islands-submarine-cable-system', 'name': 'BT Highlands and Islands Submarine Cable System', 'cable_id': 1827.0}]"
21,"Punto Fijo, Venezuela",11.708598,-70.204367,"[{'id': 'arcos', 'name': 'ARCOS', 'cable_id': 1078.0}, {'id': 'pan-american-pan-am', 'name': 'Pan American (PAN-AM)', 'cable_id': 1073.0}, {'id': 'venezuela-festoon', 'name': 'Venezuela Festoon', 'cable_id': 1094.0}]"
22,"Abu Dhabi, United Arab Emirates",24.443785,54.418877,"[{'id': 'qatar-u-a-e-submarine-cable-system', 'name': 'Qatar-U.A.E. Submarine Cable System', 'cable_id': 1254.0}]"
23,"Funchal, Portugal",32.646869,-16.908945,"[{'id': 'cam-ring', 'name': 'CAM Ring', 'cable_id': 1800.0}, {'id': 'ellalink', 'name': 'EllaLink', 'cable_id': 1725.0}]"
24,"Panama City, Panama",8.964605,-79.536699,"[{'id': 'pan-american-pan-am', 'name': 'Pan American (PAN-AM)', 'cable_id': 1073.0}]"
25,"Sorong, Indonesia",-0.88207,131.295403,"[{'id': 'smpcs-packet-1', 'name': 'SMPCS Packet-1', 'cable_id': 1884.0}, {'id': 'smpcs-packet-2', 'name': 'SMPCS Packet-2', 'cable_id': 1885.0}]"
26,"Pontianak, Indonesia",-0.027407,109.335648,"[{'id': 'jasuka', 'name': 'JASUKA', 'cable_id': 1844.0}, {'id': 'jaka2ladema', 'name': 'JaKa2LaDeMa', 'cable_id': 1767.0}]"
27,"Al Ghaydah, Yemen",16.210378,52.182355,"[{'id': 'falcon', 'name': 'FALCON', 'cable_id': 1346.0}]"
28,"Antsiranana, Madagascar",-12.275253,49.29217,"[{'id': 'africa-1', 'name': 'Africa-1', 'cable_id': 1878.0}]"
29,"Totness, Suriname",5.886628,-56.37537,"[{'id': 'suriname-guyana-submarine-cable-system-sg-scs', 'name': 'Suriname-Guyana Submarine Cable System (SG-SCS)', 'cable_id': 1612.0}]"
30,"Bata, Equatorial Guinea",1.860067,9.768227,"[{'id': 'africa-coast-to-europe-ace', 'name': 'Africa Coast to Europe (ACE)', 'cable_id': 1629.0}, {'id': 'ceiba-1', 'name': 'Ceiba-1', 'cable_id': 1699.0}, {'id': 'ceiba-2', 'name': 'Ceiba-2', 'cable_id': 1842.0}]"
